2021-04-19 | 15:00:00.023 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | end..ProcessOrderJob...2021-04-19T15:00:00.023
2021-04-19 | 15:00:00.023 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T15:00:00.023
2021-04-19 | 15:23:27.149 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T15:23:27.149
2021-04-19 | 15:23:28.514 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T15:23:28.514
2021-04-19 | 15:23:28.514 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T15:23:28.514
2021-04-19 | 15:23:30.097 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | end..FetchOrderJob...2021-04-19T15:23:30.097
2021-04-19 | 15:23:30.097 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T15:23:30.097
2021-04-19 | 15:30:00.249 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | end..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T15:30:00.249
2021-04-19 | 15:30:00.249 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job started to update Stock, Delivery Time and Preorder Information for all article and article Sets at --2021-04-19T15:30:00.249
2021-04-19 | 15:30:05.921 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job ended to update Stock, Delivery Time and Preorder Information for all article and article Sets at---2021-04-19T15:30:05.921
2021-04-19 | 15:30:05.921 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Pushing Delivery time to Magento
2021-04-19 | 15:30:05.921 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T15:30:05.921
